# index, _pos
354,"array([-12.64115442, -12.95400314])"
355,"array([-12.16240328, -12.17822285])"
356,"array([-12.00465969, -12.99531665])"
357,"array([35.77744193, 24.5226106 ])"
358,"array([35.00007941, 25.12665655])"
359,"array([  4.09849458, -21.15351634])"
360,"array([  3.54144076, -20.72761167])"
361,"array([  5.5544396 , -19.20654568])"
362,"array([  3.82517299, -21.80789489])"
363,"array([ 5.54475027, 27.83916014])"
364,"array([ 6.4884658 , 27.65007172])"
365,"array([-25.7485693 ,  -2.60625999])"
366,"array([-26.70882974,  -2.60721681])"
367,"array([-19.23457731,  18.72805177])"
368,"array([-18.25090077,  19.10799668])"
369,"array([-17.80282864,  13.78231777])"
370,"array([-18.82882163,  14.1485805 ])"
371,"array([-34.02826218,  -8.2846538 ])"
372,"array([-34.45003151,  -9.14256136])"
373,"array([  0.17593432, -13.59432427])"
374,"array([  0.95691136, -12.63827027])"
375,"array([  0.43092257, -12.53386371])"
376,"array([ 8.42953007, -3.50942829])"
377,"array([ 9.41055773, -3.8126159 ])"
378,"array([ 9.78066108, -4.51648419])"
379,"array([ 9.12233567, -6.30788967])"
380,"array([10.61632871, -2.42473439])"
381,"array([ 8.54946326, -6.32218362])"
382,"array([ 9.97377309, -4.88628923])"
383,"array([ 7.95005507, -4.32286025])"
384,"array([ 9.02547609, -3.77977158])"
385,"array([ 8.81497067, -6.17895886])"
386,"array([ 9.17366984, -5.22897667])"
387,"array([ 7.05980014, -5.85996536])"
388,"array([ 8.05921845, -3.77765185])"
389,"array([ 8.55503305, -7.01880837])"
390,"array([10.26929309, -5.55912974])"
391,"array([ 7.88012816, -6.90327517])"
392,"array([11.21400935,  2.83364974])"
393,"array([40.75902328, -0.64502666])"
394,"array([40.13103963,  0.05838987])"
395,"array([-8.23667722, 20.9233542 ])"
396,"array([-7.31288413, 21.23650348])"
397,"array([-7.3147882 , 21.95620988])"
398,"array([-7.78160094, 21.61698642])"
399,"array([-8.19067873, 22.04002744])"
400,"array([-8.51654197, 21.4404668 ])"
401,"array([-7.57951456, 20.70544044])"
402,"array([  7.29621784, -10.56809656])"
403,"array([  6.50086194, -12.33800499])"
404,"array([  6.78837397, -12.93760325])"
405,"array([ 8.05191527, -8.68097431])"
406,"array([ 7.42915017, -7.76860993])"
407,"array([  5.8239652 , -12.45205141])"
408,"array([16.97351329, -4.67729669])"
409,"array([15.93553215, -4.84351283])"
410,"array([16.69083702, -5.29225173])"
411,"array([17.93315895, -3.81822153])"
412,"array([16.4548872 , -3.76744171])"
413,"array([15.50512849, -5.21872321])"
414,"array([16.71119848, -4.44916106])"
415,"array([16.33204873, -4.73602388])"
416,"array([16.62082404, -4.8468299 ])"
417,"array([15.81698521, -5.45599667])"
418,"array([16.92280437, -5.04399904])"
419,"array([17.1828995 , -5.28424213])"
420,"array([16.27812087, -4.3859431 ])"
421,"array([15.45443134, -4.86739305])"
422,"array([16.57366663, -4.15692246])"
423,"array([15.74693644, -4.56207238])"
424,"array([16.91288347, -4.12691061])"
425,"array([15.404688  , -4.53281562])"
426,"array([16.34758628, -5.13549056])"
427,"array([17.14623068, -4.40447593])"
428,"array([17.30253147, -4.85040997])"
